Date;amount;name;Solde
01/01/2024;-12;F COTIS EUC.CONFORT;5541,84
05/01/2024;-29,99;PRLV SEPA FREE TELECOM;5511,85
05/01/2024;427,55;VIR MANGOPAY;5939,4
05/01/2024;-159;PRLV SEPA TOTALENERGIES ELECTRI;5780,4
09/01/2024;427,55;VIR MANGOPAY;6207,95
09/01/2024;427,55;VIR MANGOPAY;6635,5
10/01/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;6617,33
10/01/2024;-486,75;PRLV SEPA SYNDICAT DRAGON MIROI;6130,58
15/01/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;4956,4
22/01/2024;427,55;VIR MANGOPAY;5383,95
22/01/2024;427,55;VIR MANGOPAY;5811,5
01/02/2024;-12;F COTIS EUC.CONFORT;5799,5
05/02/2024;-159;PRLV SEPA TOTALENERGIES ELECTRI;5640,5
06/02/2024;-29,99;PRLV SEPA FREE TELECOM;5610,51
07/02/2024;427,55;VIR MANGOPAY;6038,06
09/02/2024;427,55;VIR MANGOPAY;6465,61
09/02/2024;-486,75;PRLV SEPA SYNDICAT DRAGON MIROI;5978,86
09/02/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;5960,69
15/02/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;4786,51
15/02/2024;427,55;VIR MANGOPAY;5214,06
19/02/2024;427,55;VIR MANGOPAY;5641,61
21/02/2024;427,55;VIR MANGOPAY;6069,16
05/03/2024;-159;PRLV SEPA TOTALENERGIES ELECTRI;5910,16
06/03/2024;-29,99;PRLV SEPA FREE TELECOM;5880,17
07/03/2024;427,55;VIR MANGOPAY;6307,72
11/03/2024;-486,75;PRLV SEPA SYNDICAT DRAGON MIROI;5820,97
11/03/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;5802,8
15/03/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;4628,62
25/03/2024;2137,75;VIR MANGOPAY;6766,37
05/04/2024;-219,62;PRLV SEPA MACIF PRODUCTION-MACI;6546,75
05/04/2024;-29,99;PRLV SEPA FREE TELECOM;6516,76
05/04/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;6337,76
09/04/2024;-3000;VIR COMPTE COURANT;3337,76
10/04/2024;-486,75;PRLV SEPA SYNDICAT DRAGON MIROI;2851,01
10/04/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;2832,84
11/04/2024;855,1;VIR MANGOPAY;3687,94
